구,세대,인구수,세대당인구,65세이상고령자,고령비율
종로구,73879,164348,2.09,26429,16.081120549078783
중구,60903,135139,2.07,21655,16.02424170668719
용산구,108497,245411,2.12,37238,15.173728968954123
성동구,134543,314551,2.28,41752,13.273523212452035
광진구,161407,371671,2.21,44470,11.964882920647563
동대문구,160489,364962,2.18,56284,15.421879538143699
중랑구,179600,411552,2.27,59992,14.577015784153643
성북구,187234,453902,2.36,66896,14.73798308886059
강북구,143139,327511,2.26,57002,17.404606257499747
도봉구,137479,345041,2.49,54293,15.735231465246159
노원구,217999,555803,2.53,75081,13.508563285912453
은평구,203431,490253,2.39,75535,15.407350898413677
서대문구,137758,324871,2.27,49645,15.281450175608164
마포구,170219,385624,2.2,50122,12.997635001970831
양천구,176559,473087,2.66,56070,11.85194266593671
강서구,256042,608361,2.35,77381,12.719585903764377
구로구,171751,440396,2.38,59838,13.587316869363027
금천구,106333,253344,2.2,34640,13.673108500694708
영등포구,168784,403988,2.19,54704,13.540996267215858
동작구,173544,406715,2.27,57711,14.189543046113373
관악구,258536,522292,1.95,70807,13.556975791319797
서초구,174225,445164,2.53,54055,12.142715942888463
강남구,231219,557865,2.39,65859,11.805544352128203
송파구,266550,671994,2.5,77978,11.603972654517749
강동구,177490,438225,2.45,56983,13.003137657595984
